Status,F_Lesser,M_Lesser,F_Greater,M_Greater,F_Less_Ratio,M_Less_Ratio,Ratio_L,F_Greater_Ratio,M_Greater_Ratio,Ratio_H,Occupation
 Divorced,116,63,4,2,0.966666667,0.969230769,1.00265252,0.033333333,0.030769231,0.923076923,Other
 Married-AF-spouse,2,,,,1,0,0,0,0,0,Other
 Married-civ-spouse,103,363,42,129,0.710344828,0.737804878,1.038657353,0.289655172,0.262195122,0.905197445,Other
 Married-spouse-absent,13,15,,1,1,0.9375,0.9375,0,0.0625,0.0625,Other
 Never-married,385,377,2,7,0.994832041,0.981770833,0.986870942,0.005167959,0.018229167,3.52734375,Other
 Separated,44,22,,,1,1,1,0,0,0,Other
 Widowed,126,23,4,,0.969230769,1,1.031746032,0.030769231,0,0,Other
 Divorced,704,89,15,11,0.979137691,0.89,0.908963068,0.020862309,0.11,5.272666667,Adm-clerical
 Married-AF-spouse,3,1,1,,0.75,1,1.333333333,0.25,0,0,Adm-clerical
 Married-civ-spouse,201,350,171,264,0.540322581,0.570032573,1.054985658,0.459677419,0.429967427,0.935367735,Adm-clerical
 Married-spouse-absent,50,7,1,1,0.980392157,0.875,0.8925,0.019607843,0.125,6.375,Adm-clerical
 Never-married,1099,459,17,16,0.984767025,0.966315789,0.981263349,0.015232975,0.033684211,2.21126935,Adm-clerical
 Separated,118,26,1,2,0.991596639,0.928571429,0.936440678,0.008403361,0.071428571,8.5,Adm-clerical
 Widowed,150,6,6,1,0.961538462,0.857142857,0.891428571,0.038461538,0.142857143,3.714285714,Adm-clerical
 Divorced,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Armed-Forces
 Married-AF-spouse,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Armed-Forces
 Married-civ-spouse,,2,,1,#DIV/0!,0.666666667,0,#DIV/0!,0.333333333,0,Armed-Forces
 Married-spouse-absent,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Armed-Forces
 Never-married,,6,,,#DIV/0!,1,0,#DIV/0!,0,0,Armed-Forces
 Separated,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Armed-Forces
 Widowed,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Armed-Forces
 Divorced,70,349,7,38,0.909090909,0.901808786,0.991989664,0.090909091,0.098191214,1.080103359,Craft-repair
 Married-AF-spouse,,1,1,1,0,0.5,0,1,0.5,0.5,Craft-repair
 Married-civ-spouse,16,1715,10,823,0.615384615,0.67572892,1.098059496,0.384615385,0.32427108,0.843104807,Craft-repair
 Married-spouse-absent,8,40,,4,1,0.909090909,0.909090909,0,0.090909091,0.090909091,Craft-repair
 Never-married,70,767,2,33,0.972222222,0.95875,0.986142857,0.027777778,0.04125,1.485,Craft-repair
 Separated,18,79,,6,1,0.929411765,0.929411765,0,0.070588235,0.070588235,Craft-repair
 Widowed,20,17,,4,1,0.80952381,0.80952381,0,0.19047619,0.19047619,Craft-repair
 Divorced,313,148,66,77,0.82585752,0.657777778,0.796478523,0.17414248,0.342222222,1.965185185,Exec-managerial
 Married-AF-spouse,,,1,,0,#DIV/0!,0,1,0,0,Exec-managerial
 Married-civ-spouse,88,690,155,1511,0.362139918,0.313493866,0.865670563,0.637860082,0.686506134,1.076264455,Exec-managerial
 Married-spouse-absent,17,6,3,5,0.85,0.545454545,0.64171123,0.15,0.454545455,3.03030303,Exec-managerial
 Never-married,350,337,42,70,0.892857143,0.828009828,0.927371007,0.107142857,0.171990172,1.605241605,Exec-managerial
 Separated,50,25,3,16,0.943396226,0.609756098,0.646341463,0.056603774,0.390243902,6.894308943,Exec-managerial
 Widowed,61,13,10,9,0.85915493,0.590909091,0.687779434,0.14084507,0.409090909,2.904545455,Exec-managerial
 Divorced,9,50,1,4,0.9,0.925925926,1.028806584,0.1,0.074074074,0.740740741,Farming-fishing
 Married-AF-spouse,,,,1,#DIV/0!,0,0,#DIV/0!,1,1,Farming-fishing
 Married-civ-spouse,16,458,,101,1,0.819320215,0.819320215,0,0.180679785,0.180679785,Farming-fishing
 Married-spouse-absent,2,21,1,,0.666666667,1,1.5,0.333333333,0,0,Farming-fishing
 Never-married,21,263,,5,1,0.981343284,0.981343284,0,0.018656716,0.018656716,Farming-fishing
 Separated,4,13,,1,1,0.928571429,0.928571429,0,0.071428571,0.071428571,Farming-fishing
 Widowed,11,11,,1,1,0.916666667,0.916666667,0,0.083333333,0.083333333,Farming-fishing
 Divorced,38,86,,4,1,0.955555556,0.955555556,0,0.044444444,0.044444444,Handlers-cleaners
 Married-AF-spouse,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Handlers-cleaners
 Married-civ-spouse,13,375,4,75,0.764705882,0.833333333,1.08974359,0.235294118,0.166666667,0.708333333,Handlers-cleaners
 Married-spouse-absent,4,19,,,1,1,1,0,0,0,Handlers-cleaners
 Never-married,81,613,,2,1,0.996747967,0.996747967,0,0.003252033,0.003252033,Handlers-cleaners
 Separated,12,26,,,1,1,1,0,0,0,Handlers-cleaners
 Widowed,12,5,,1,1,0.833333333,0.833333333,0,0.166666667,0.166666667,Handlers-cleaners
 Divorced,144,129,1,3,0.993103448,0.977272727,0.984059343,0.006896552,0.022727273,3.295454545,Machine-op-inspct
 Married-AF-spouse,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Machine-op-inspct
 Married-civ-spouse,78,674,17,222,0.821052632,0.752232143,0.916180174,0.178947368,0.247767857,1.384585084,Machine-op-inspct
 Married-spouse-absent,11,14,,1,1,0.933333333,0.933333333,0,0.066666667,0.066666667,Machine-op-inspct
 Never-married,206,360,2,3,0.990384615,0.991735537,1.001364038,0.009615385,0.008264463,0.859504132,Machine-op-inspct
 Separated,46,37,,1,1,0.973684211,0.973684211,0,0.026315789,0.026315789,Machine-op-inspct
 Widowed,45,8,,,1,1,1,0,0,0,Machine-op-inspct
 Divorced,378,112,6,5,0.984375,0.957264957,0.972459639,0.015625,0.042735043,2.735042735,Other-service
 Married-AF-spouse,2,,2,,0.5,#DIV/0!,0,0.5,0,0,Other-service
 Married-civ-spouse,162,457,32,72,0.835051546,0.86389414,1.034539896,0.164948454,0.13610586,0.825141777,Other-service
 Married-spouse-absent,41,16,1,1,0.976190476,0.941176471,0.964131994,0.023809524,0.058823529,2.470588235,Other-service
 Never-married,845,784,5,7,0.994117647,0.991150442,0.997015238,0.005882353,0.008849558,1.504424779,Other-service
 Separated,160,28,1,1,0.99378882,0.965517241,0.971551724,0.00621118,0.034482759,5.551724138,Other-service
 Widowed,161,12,4,,0.975757576,1,1.02484472,0.024242424,0,0,Other-service
 Divorced,28,,,,1,#DIV/0!,0,0,0,0,Priv-house-serv
 Married-AF-spouse,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Priv-house-serv
 Married-civ-spouse,15,1,,,1,1,1,0,0,0,Priv-house-serv
 Married-spouse-absent,4,,,,1,#DIV/0!,0,0,0,0,Priv-house-serv
 Never-married,60,7,,,1,1,1,0,0,0,Priv-house-serv
 Separated,12,,,,1,#DIV/0!,0,0,0,0,Priv-house-serv
 Widowed,21,,1,1,0.954545455,0,0,0.045454545,1,22,Priv-house-serv
 Divorced,317,102,57,63,0.847593583,0.618181818,0.729337539,0.152406417,0.381818182,2.505263158,Prof-specialty
 Married-AF-spouse,,,1,2,0,0,0,1,1,1,Prof-specialty
 Married-civ-spouse,82,537,231,1276,0.261980831,0.296194153,1.130594756,0.738019169,0.703805847,0.953641688,Prof-specialty
 Married-spouse-absent,19,17,3,8,0.863636364,0.68,0.787368421,0.136363636,0.32,2.346666667,Prof-specialty
 Never-married,588,469,72,105,0.890909091,0.817073171,0.917122947,0.109090909,0.182926829,1.676829268,Prof-specialty
 Separated,55,22,11,11,0.833333333,0.666666667,0.8,0.166666667,0.333333333,2,Prof-specialty
 Widowed,69,4,10,9,0.873417722,0.307692308,0.352285396,0.126582278,0.692307692,5.469230769,Prof-specialty
 Divorced,22,44,2,11,0.916666667,0.8,0.872727273,0.083333333,0.2,2.4,Protective-serv
 Married-AF-spouse,,1,,,#DIV/0!,1,0,#DIV/0!,0,0,Protective-serv
 Married-civ-spouse,6,196,2,179,0.75,0.522666667,0.696888889,0.25,0.477333333,1.909333333,Protective-serv
 Married-spouse-absent,1,4,,,1,1,1,0,0,0,Protective-serv
 Never-married,29,112,6,9,0.828571429,0.925619835,1.117127387,0.171428571,0.074380165,0.433884298,Protective-serv
 Separated,5,10,,1,1,0.909090909,0.909090909,0,0.090909091,0.090909091,Protective-serv
 Widowed,3,5,,1,1,0.833333333,0.833333333,0,0.166666667,0.166666667,Protective-serv
 Divorced,246,133,15,40,0.942528736,0.768786127,0.81566333,0.057471264,0.231213873,4.023121387,Sales
 Married-AF-spouse,1,1,,,1,1,1,0,0,0,Sales
 Married-civ-spouse,92,731,50,790,0.647887324,0.480604865,0.741803162,0.352112676,0.519395135,1.475082183,Sales
 Married-spouse-absent,19,12,2,1,0.904761905,0.923076923,1.020242915,0.095238095,0.076923077,0.807692308,Sales
 Never-married,677,582,10,50,0.985443959,0.920886076,0.934488529,0.014556041,0.079113924,5.435126582,Sales
 Separated,66,22,1,4,0.985074627,0.846153846,0.858974359,0.014925373,0.153846154,10.30769231,Sales
 Widowed,74,11,10,10,0.880952381,0.523809524,0.594594595,0.119047619,0.476190476,4,Sales
 Divorced,90,33,4,13,0.957446809,0.717391304,0.749275362,0.042553191,0.282608696,6.641304348,Tech-support
 Married-AF-spouse,,,,,#DIV/0!,#DIV/0!,0,#DIV/0!,0,0,Tech-support
 Married-civ-spouse,20,140,33,211,0.377358491,0.398860399,1.056980057,0.622641509,0.601139601,0.965466632,Tech-support
 Married-spouse-absent,3,3,,,1,1,1,0,0,0,Tech-support
 Never-married,157,157,7,10,0.957317073,0.94011976,0.982035928,0.042682927,0.05988024,1.402908469,Tech-support
 Separated,17,8,,3,1,0.727272727,0.727272727,0,0.272727273,0.272727273,Tech-support
 Widowed,16,1,1,1,0.941176471,0.5,0.53125,0.058823529,0.5,8.5,Tech-support
 Divorced,18,149,1,13,0.947368421,0.919753086,0.97085048,0.052631579,0.080246914,1.524691358,Transport-moving
 Married-AF-spouse,,1,,,#DIV/0!,1,0,#DIV/0!,0,0,Transport-moving
 Married-civ-spouse,11,692,7,284,0.611111111,0.709016393,1.160208644,0.388888889,0.290983607,0.74824356,Transport-moving
 Married-spouse-absent,2,16,,1,1,0.941176471,0.941176471,0,0.058823529,0.058823529,Transport-moving
 Never-married,33,298,1,8,0.970588235,0.973856209,1.003367003,0.029411765,0.026143791,0.888888889,Transport-moving
 Separated,7,27,,3,1,0.9,0.9,0,0.1,0.1,Transport-moving
 Widowed,10,13,,2,1,0.866666667,0.866666667,0,0.133333333,0.133333333,Transport-moving
